cost;payment_date;payment_method
136665;2022-03-16;Cash
130229;2022-06-28;Credit Card
915633;2022-06-24;Debit Card
505675;2022-04-21;Wire Transfer
554144;2022-11-11;Check
562966;2022-07-26;E-money
554149;2022-06-23;Cryptocurrency
259430;2022-01-17;Bank Transfer
529774;2022-04-21;Mobile Payment
249851;2022-06-07;Online Payment
956384;2022-06-09;PayPal
793054;2022-03-09;Google Pay
219624;2022-08-28;Apple Pay
289386;2022-07-28;Partial Payment
907728;2022-06-14;Subscription Payment
192856;2022-01-18;Payment on Delivery (COD)
482966;2022-07-27;Non-cash Payment
468326;2022-06-28;Bill Payment
618293;2022-12-07;Cash
365257;2022-03-13;Credit Card
540118;2022-08-14;Mobile Payment
239195;2022-12-01;Online Payment
322130;29.04.2022;PayPal
32180;2022-12-14;Google Pay
803931;2022-04-11;Cash
181238;2022-12-06;Credit Card
300694;2022-09-09;Cash
55051;2022-09-09;Credit Card
459151;2022-04-29;Cash
78004;2022-04-08;Credit Card
606878;2022-07-05;Debit Card
832158;2022-04-02;Wire Transfer
705222;2022-01-20;Check
458042;18.01.2022;E-money
100110;2022-02-14;Cryptocurrency
222513;2022-08-10;Bank Transfer
645227;2022-02-20;Mobile Payment
290738;2022-12-19;Online Payment
616037;2022-09-03;PayPal
694877;2022-08-15;Google Pay
231520;2022-08-06;Apple Pay
853328;2022-07-29;Partial Payment
895614;2022-09-15;Subscription Payment
114911;27.02.2022;Payment on Delivery (COD)
180457;2022-01-06;Non-cash Payment
265640;2022-04-30;Bill Payment
127604;2022-09-18;Cash
513438;2022-04-16;Credit Card
845791;2022-11-27;Mobile Payment
497758;2022-02-10;Online Payment
467811;2022-12-13;PayPal
714406;2022-01-07;Google Pay
264921;2022-12-14;Cash
216474;2022-09-15;Credit Card
361423;2022-01-10;Cash
329816;2022-05-16;Credit Card
748932;2022-04-14;Cash
109242;2022-04-03;Credit Card
306756;2022-02-20;Debit Card
233362;2022-12-22;Wire Transfer
396827;2022-06-18;Check
82353;2022-08-07;E-money
280295;2022-06-26;Cryptocurrency
920121;2022-09-28;Bank Transfer
44741;2022-12-21;Mobile Payment
325226;2022-08-10;Online Payment
197395;2022-05-02;PayPal
522749;2022-05-25;Google Pay
64504;2022-11-29;Apple Pay
189156;2022-12-13;Partial Payment
24417;2022-11-14;Subscription Payment
96586;2022-09-14;Payment on Delivery (COD)
48079;2022-05-31;Non-cash Payment
652169;2022-03-09;Bill Payment
610879;2022-01-17;Cash
176505;2022-08-26;Credit Card
459473;2022-08-10;Mobile Payment
687183;2022-12-25;Online Payment
352670;2022-04-07;PayPal
152925;2022-09-29;Google Pay
122774;2022-10-24;Cash
930447;2022-11-25;Credit Card
612051;2022-10-20;Cash
821773;2022-11-02;Credit Card
224037;2022-02-28;Cash
890645;2022-09-09;Credit Card
489441;2022-02-13;Debit Card
842448;30.03.2022;Wire Transfer
631738;2022-07-16;Check
724180;2022-05-26;E-money
528207;2022-11-12;Cryptocurrency
266754;2022-04-09;Bank Transfer
380897;2022-10-04;Mobile Payment
732835;2022-05-21;Online Payment
701422;2022-09-09;PayPal
466349;2022-03-22;Google Pay
272460;2022-12-25;Apple Pay
74519;2022-04-19;Partial Payment
388918;2022-08-01;Subscription Payment
776742;2022-02-09;Payment on Delivery (COD)
582025;2022-07-12;Non-cash Payment
766425;2022-10-25;Bill Payment
710025;2022-11-05;Cash
110326;2022-03-16;Credit Card
109913;2022-11-05;Mobile Payment
297636;2022-02-05;Online Payment
351824;2022-11-22;PayPal
214717;2022-01-10;Google Pay
111494;2022-12-25;Cash
821059;2022-04-06;Credit Card
434220;2022-11-15;Cash
426585;2022-02-04;Credit Card
125540;2022-11-21;Cash
856426;2022-04-11;Credit Card
836237;2022-10-27;Debit Card
131890;2022-10-25;Wire Transfer
768696;2022-10-24;Check
228365;2022-09-17;E-money
34453;2022-01-14;Cryptocurrency
162104;2022-05-24;Bank Transfer
602600;2022-01-30;Mobile Payment
203098;29.08.2022;Online Payment
73678;2022-02-14;PayPal
941896;2022-03-23;Google Pay
844806;2022-06-11;Apple Pay
845981;2022-06-27;Partial Payment
515830;2022-06-11;Subscription Payment
425863;18.05.2022;Payment on Delivery (COD)
973409;2022-06-04;Non-cash Payment
197376;2022-07-17;Bill Payment
335495;2022-06-04;Cash
58680;2022-12-19;Credit Card
805232;2022-04-18;Mobile Payment
990653;2022-02-28;Online Payment
305595;2022-08-12;PayPal
959621;2022-06-05;Google Pay
841047;2022-06-30;Cash
702963;2022-04-05;Credit Card
396432;2022-07-09;Cash
556197;2022-02-28;Credit Card
760329;2022-02-13;Cash
221603;2022-11-03;Credit Card
293601;2022-10-17;Debit Card
594648;2022-11-07;Wire Transfer
678490;2022-04-01;Check
863828;2022-08-15;E-money
715271;2022-05-10;Cryptocurrency
735740;2022-06-22;Bank Transfer
865536;2022-01-04;Mobile Payment
392274;2022-08-19;Online Payment
146048;2022-03-07;PayPal
747324;2022-09-25;Google Pay
91445;2022-09-12;Apple Pay
859676;2022-08-25;Partial Payment
229876;2022-05-15;Subscription Payment
319724;2022-07-25;Payment on Delivery (COD)
314199;2022-04-22;Non-cash Payment
723111;2022-05-31;Bill Payment
536076;2022-02-18;Cash
310265;2022-10-07;Credit Card
114823;2022-01-10;Mobile Payment
36424;2022-12-15;Online Payment
191524;2022-08-29;PayPal
376509;2022-02-19;Google Pay
51589;2022-10-26;Cash
689636;2022-05-14;Credit Card
621348;2022-05-28;Cash
123904;2022-08-16;Credit Card
985853;2022-02-19;Cash
231955;2022-05-14;Credit Card
877370;2022-10-17;Debit Card
834772;2022-09-27;Wire Transfer
913461;2022-05-09;Check
688455;2022-05-12;E-money
450575;2022-09-23;Cryptocurrency
568092;2022-03-20;Bank Transfer
325740;2022-11-16;Mobile Payment
947163;2022-05-08;Online Payment
745048;2022-06-06;PayPal
93094;2022-03-20;Google Pay
268562;2022-12-07;Apple Pay
757394;2022-06-02;Partial Payment
449791;2022-03-07;Subscription Payment
744799;2022-10-25;Payment on Delivery (COD)
791758;2022-04-22;Non-cash Payment
627341;2022-10-14;Bill Payment
508669;2022-05-06;Cash
852084;2022-01-12;Credit Card
124554;2022-06-25;Mobile Payment
763942;2022-05-28;Online Payment
627266;2022-02-12;PayPal
865414;2022-09-07;Google Pay
252326;2022-01-26;Cash
489077;2022-10-24;Credit Card
656145;2022-01-24;Cash
716230;2022-03-29;Credit Card
807422;2022-11-24;Cash
242482;2022-07-23;Credit Card
655700;2022-04-24;Debit Card
336492;2022-10-16;Wire Transfer
814197;2022-04-23;Check
441201;2022-12-01;E-money
850204;2022-02-21;Cryptocurrency
320825;2022-11-12;Bank Transfer
45481;2022-04-09;Mobile Payment
375351;2022-01-14;Online Payment
653079;2022-06-30;PayPal
274193;2022-03-03;Google Pay
460673;2022-06-01;Apple Pay
152152;2022-09-29;Partial Payment
560589;2022-03-13;Subscription Payment
525522;2022-06-05;Payment on Delivery (COD)
142926;2022-01-21;Non-cash Payment
947854;2022-09-16;Bill Payment
41163;2022-02-27;Cash
226907;2022-12-18;Credit Card
893586;2022-10-28;Mobile Payment
491010;2022-05-21;Online Payment
286549;2022-03-02;PayPal
529363;2022-05-27;Google Pay
425258;2022-09-04;Cash
236946;2022-10-23;Credit Card
356586;2022-07-31;Cash
673964;2022-07-08;Credit Card
501187;2022-01-17;Cash
994272;2022-06-09;Credit Card
641562;2022-11-18;Debit Card
716694;2022-05-11;Wire Transfer
244662;2022-05-23;Check
602187;2022-07-13;E-money
471830;2022-05-14;Cryptocurrency
876197;2022-08-16;Bank Transfer
754193;2022-06-26;Mobile Payment
645237;2022-10-10;Online Payment
378187;2022-02-06;PayPal
816763;2022-11-08;Google Pay
414834;2022-09-11;Apple Pay
348495;2022-03-30;Partial Payment
850460;2022-06-24;Subscription Payment
558018;2022-07-20;Payment on Delivery (COD)
584436;2022-09-03;Non-cash Payment
630510;2022-03-28;Bill Payment
151851;2022-05-07;Cash
692909;2022-01-06;Credit Card
280449;2022-08-09;Mobile Payment
576009;2022-12-10;Online Payment
21870;2022-08-30;PayPal
806515;2022-03-06;Google Pay
217573;2022-09-26;Cash
33069;2022-07-21;Credit Card
945472;2022-09-24;Cash
