rating ;comment;review_date;client_id;provider_id
5;Unreliable service! Products received were of poor quality, and delivery was extremely delayed.;2023-11-29;126;45
85;I am impressed with the professionalism and attention to detail. A reliable supplier indeed!;2022-09-20;841;21
49;;2023-09-03;213;28
100;Exceptional service! The quality of the products and the speed of delivery exceeded my expectations.;2022-12-11;502;1
70;Average service. The products received were neither exceptional nor disappointing.;2022-10-05;460;28
71;;2022-11-14;292;30
89;Outstanding customer support! They went above and beyond to address my concerns promptly.;2023-10-09;565;21
28;;2022-05-02;792;9
25;;2022-07-28;964;31
4;Very disappointed with the lack of professionalism. Numerous errors and a total disregard for customer concerns.;2023-11-21;711;31
83;Reliable and consistent quality. It's a pleasure doing business with such a trustworthy supplier.;2022-11-02;175;30
30;;2022-10-28;425;30
99;;2022-01-06;268;1
52;;2022-07-25;126;43
85;;2023-10-31;456;43
63;Neutral experience overall. The supplier met basic expectations without any standout qualities.;2022-02-06;673;28
97;Prompt delivery and top-notch products. Highly recommended supplier in the industry!;2023-08-22;370;21
75;;2023-02-17;649;46
84;;2022-05-03;646;30
36;;2022-02-16;904;45
6;Horrible customer support! Issues were ignored, and there was no effort to resolve the problems.;2022-11-07;546;45
37;;2022-10-24;440;43
68;Adequate customer support. They addressed concerns, but the process was not particularly smooth.;2023-04-18;518;28
12;;2023-07-31;539;28
27;;2022-01-14;319;9
89;;2023-02-24;607;21
80;;2022-07-21;121;21
64;;2023-01-17;354;11
79;;2022-11-26;450;11
61;Average quality products delivered within the expected timeframe.;2023-09-03;22;30
18;;2023-01-29;231;11
90;;2023-12-03;386;41
42;;2023-01-13;661;46
58;;2023-06-17;335;41
18;Inconsistent and subpar quality. I regret choosing this supplier for my business needs.;2023-04-22;333;28
12;Extremely slow delivery and substandard products. A terrible experience overall.;2022-10-16;2;28
33;;2023-01-23;613;38
26;;2023-07-19;141;40
60;The product met basic standards, but there is room for improvement in terms of quality.;2023-07-23;236;4
86;;2023-07-11;514;46
63;;2023-09-09;519;4
67;Decent communication throughout the process. No major issues, but nothing remarkable.;2022-06-19;738;25
81;;2023-05-13;652;15
3;Communication was terrible throughout the process. A complete letdown from this supplier.;2023-11-17;311;15
10;;2023-08-20;432;34
5;;2023-12-10;262;40
64;Fairly standard service. The supplier fulfilled the order without exceeding expectations.;2022-03-07;306;46
8;;2023-05-08;1;34
10;;2022-12-24;401;15
54;;2023-05-13;462;28
5;The product did not meet the advertised standards. Quality control seems non-existent.;2023-12-21;356;26
95;;2023-04-27;291;1
73;Adequate professionalism. The overall experience was neither exceptional nor subpar.;2023-04-04;415;25
49;;2022-03-10;991;11
12;;2022-08-08;608;18
5;;2022-08-08;150;7
13;;2022-01-24;560;28
55;;2023-07-30;962;28
0;Terrible service! Delays, mistakes, and a complete lack of customer care.;2023-10-24;410;28
75;;2022-11-04;574;25
75;Average delivery times and product quality. No major complaints, but nothing outstanding.;2023-12-27;691;25
75;;2023-02-02;451;5
89;The product exceeded my expectations. I appreciate the commitment to excellence.;2023-10-19;970;1
81;Great communication throughout the process. A supplier that truly values its customers.;2023-02-07;490;17
12;;2022-01-13;489;50
64;;2023-06-20;867;11
77;;2023-06-18;36;11
48;;2023-12-06;816;17
64;;2023-12-05;75;38
26;Unreliable delivery times and inconsistent quality. A regrettable choice for our business needs.;2022-09-15;298;2
10;;2022-07-18;441;35
23;;2023-07-07;693;35
59;;2022-09-12;595;12
56;;2023-09-23;941;39
11;Unreliable and inconsistent. I will not be using this supplier again in the future.;2023-05-05;491;38
63;;2023-06-29;85;3
7;Unprofessional team. Difficult to work with and a general lack of competence.;2022-12-24;756;38
16;;2022-12-26;109;18
33;Missed deadlines repeatedly. A supplier that cannot be relied upon.;2022-07-04;549;38
40;;2022-02-13;756;39
66;;2023-02-13;661;15
34;;2022-05-27;583;15
37;;2023-08-07;594;39
34;;2022-12-15;220;32
87;Highly professional team. They make the entire purchasing process seamless and enjoyable.;2023-07-05;579;1
70;;2022-12-20;661;5
9;;2022-09-21;985;31
59;;2023-02-16;213;32
44;;2022-11-03;984;2
56;;2022-10-16;564;2
99;Impeccable service! I couldn't be happier with the efficiency and product quality.;2023-06-14;409;1
20;;2022-01-03;935;45
73;;2022-09-14;921;20
85;Exceptional reliability. I've found my go-to supplier for all my business needs.;2022-07-16;404;12
39;;2022-06-24;339;18
6;Lack of attention to detail is evident. The products received were far from satisfactory.;2023-02-02;802;8
86;;2022-11-05;743;5
41;;2022-06-22;814;18
88;;2023-07-20;106;10
99;;2023-12-06;3;13
98;;2022-10-16;251;10
37;Consistently subpar products. I would not recommend this supplier to anyone.;2022-05-17;21;10
80;;2022-01-06;119;41
10;Poor quality products and unhelpful service. Definitely not worth the investment.;2022-10-30;106;13
72;;2022-09-15;873;41
21;;2023-10-07;978;13
58;The supplier provided a standard level of service without notable positive or negative aspects.;2022-03-18;648;37
69;;2023-02-02;301;37
92;Quality products and efficient service. It's a pleasure working with such a dedicated supplier.;2023-10-09;320;21
68;Satisfactory customer care. The response to concerns was acceptable but not exceptional.;2022-05-01;682;4
46;;2022-11-06;633;4
54;;2022-03-12;356;4
13;;2022-10-01;271;5
11;Unresponsive and difficult to work with. A supplier that does not value its customers.;2023-02-01;827;7
47;;2022-12-13;284;27
20;;2022-08-23;83;39
41;;2023-10-06;812;18
34;;2023-07-09;347;37
3;;2023-12-06;369;18
4;;2023-02-26;197;26
83;Consistently delivers on time. A supplier you can count on for reliability.;2023-07-28;287;21
54;;2023-08-31;29;39
10;;2022-07-17;263;26
87;The attention to detail is remarkable. Every product is of the highest standard.;2022-09-26;887;12
17;Lack of integrity in business dealings. Numerous problems throughout our partnership.;2022-02-20;472;38
29;;2023-06-23;832;2
43;;2022-11-11;437;50
93;Impressed with the level of customer care. Quick response and problem resolution.;2023-12-24;943;1
19;;2023-07-15;812;50
45;;2023-10-31;367;39
24;;2023-08-07;449;50
58;;2023-08-01;64;20
73;The products received were as expected. A neutral experience without notable praise or criticism.;2023-07-07;738;12
20;Customer care is non-responsive. No effort made to address concerns or rectify issues.;2023-05-30;40;18
74;;2022-07-30;885;3
67;;2022-01-12;683;20
69;;2022-01-24;551;5
95;;2022-07-18;195;1
22;Subpar goods and a complete lack of customer service. Would not recommend to others.;2022-04-18;931;29
34;;2023-01-28;15;18
65;;2023-12-06;733;48
9;;2023-01-14;910;18
95;Outstanding quality and service. I am grateful for the positive impact on my business.;2022-06-03;937;1
9;Lack of transparency in dealings. The supplier's practices are questionable.;2022-03-03;802;33
54;;2022-12-19;841;48
78;;2023-02-15;849;48
43;;2023-08-27;609;7
42;;2023-09-13;798;7
68;;2023-02-02;268;17
74;;2023-10-28;593;17
78;Standard service in terms of communication and product quality.;2023-07-28;884;32
76;;2023-07-06;436;32
57;;2022-12-21;955;9
3;Subpar customer service. No effort made to rectify issues or address concerns.;2023-10-27;128;44
55;;2023-09-13;400;36
57;;2022-09-25;915;36
18;Poor quality products and a general lack of professionalism.;2023-03-27;962;9
15;Failed to deliver on promises. A disappointing experience that I would not repeat.;2022-06-25;496;28
68;;2023-09-18;8;12
82;;2023-05-15;657;12
15;;2023-05-04;666;28
97;;2022-09-03;351;1
12;;2022-02-28;186;44
99;Reliable and trustworthy. I appreciate the transparency and integrity in every transaction.;2022-05-09;284;21
9;;2022-12-24;139;9
75;;2022-12-30;910;14
10;;2022-10-31;4;44
39;;2023-05-22;420;44
28;;2022-10-17;823;35
16;;2022-10-22;731;29
78;Adequate attention to detail. No major issues, but improvements could be made.;2022-08-18;523;29
55;;2023-05-23;384;7
98;A supplier that goes the extra mile. Their commitment to customer satisfaction is evident.;2022-03-27;822;21
13;;2022-04-11;248;14
43;;2022-07-23;402;44
81;;2022-07-14;375;35
12;Failed to meet agreed-upon deadlines. A serious lack of commitment to customer satisfaction.;2022-02-16;562;35
88;;2022-08-04;531;36
21;;2023-11-18;237;14
28;;2023-05-12;748;37
43;;2023-05-21;380;37
57;;2023-03-25;903;37
79;The supplier met basic requirements but did not go above and beyond in any aspect.;2023-07-22;699;24
47;;2022-02-15;167;34
68;;2023-02-15;501;16
88;Top-quality goods and excellent customer service. A supplier that stands out from the rest.;2023-06-04;8;21
6;Untrustworthy and unreliable. Numerous problems with both products and service.;2023-01-29;669;18
98;Always meets deadlines with precision. A supplier committed to customer satisfaction.;2023-12-25;448;19
36;;2023-08-20;949;18
62;;2023-04-07;617;16
10;Inadequate product knowledge. It's clear they lack the expertise required in the industry.;2023-10-02;911;29
87;;2023-02-21;822;23
10;Unreliable and untrustworthy. The products received were not as described.;2023-11-30;342;7
41;;2023-02-23;95;26
17;;2023-04-07;628;14
90;;2022-03-24;168;23
56;;2023-05-19;724;41
13;;2023-06-25;466;7
59;;2022-04-16;459;7
28;;2023-12-11;947;2
24;Very slow delivery and a lack of communication. A frustrating experience overall.;2022-09-06;899;19
44;;2022-09-18;840;2
95;Exceptional product knowledge. Their expertise adds tremendous value to our partnership.;2023-06-24;250;23
89;;2023-10-13;965;8
77;Average value for the money spent. The products were neither overpriced nor particularly cost-effective.;2023-10-05;923;36
91;;2022-01-19;660;42
95;;2022-03-12;458;41
74;The delivery process was standard, and the products met basic quality standards.;2023-09-11;544;8
73;;2023-12-06;129;8
52;;2022-06-21;259;29
71;;2022-02-24;80;41
90;Consistently exceeds expectations. I confidently recommend this supplier to others.;2023-04-09;54;16
89;;2022-03-02;166;16
60;;2023-04-04;909;24
47;;2022-10-29;561;19
68;Neutral professionalism from the supplier's team. No major complaints, but nothing exceptional.;2023-05-27;894;24
85;;2022-09-26;339;47
13;Consistently falls short of expectations. I strongly discourage working with this supplier.;2022-09-08;531;2
37;;2022-11-24;770;26
24;;2023-05-18;595;36
4;;2023-08-09;153;36
41;;2022-12-09;288;40
87;Efficient and dependable. I have complete confidence in their ability to deliver.;2022-03-10;934;22
18;;2022-11-05;781;40
1;;2023-06-25;84;7
88;Professionalism at its best! Their commitment to excellence is truly commendable.;2022-12-02;888;26
52;;2022-05-04;608;7
18;;2022-01-02;242;26
78;;2023-08-12;756;24
23;Suboptimal service and a lack of commitment to customer satisfaction.;2023-08-05;667;7
31;;2022-09-20;203;8
12;A supplier that consistently falls short. I regret choosing them for our business needs.;2022-11-12;787;8
38;;2022-07-25;868;15
42;;2022-01-26;831;33
25;;2022-09-27;913;9
46;;2023-05-14;226;6
15;;2022-07-09;233;40
62;The supplier fulfilled the order as expected. A neutral experience without noteworthy positives or negatives.;2022-10-28;833;22
90;Efficient and customer-focused. It's a pleasure doing business with such a dedicated team.;2023-12-15;781;23
18;;2023-06-10;770;40
91;;2023-07-06;189;6
77;;2022-05-07;567;42
